Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Symplocos glaberrima Gontsch.	350345	Symplocos glaberrima	Symplocaceae		Symplocaceae	VU	Vulnerável	2008
Portulaca minensis D.Legrand	309942	Portulaca minensis	Portulacaceae		Portulacaceae	VU	Vulnerável	2008
Mnioloma cyclostipa (Spruce) R.M. Schust.	358897	Mnioloma cyclostipa	Calypogeiaceae		Calypogeiaceae	EN	Em Perigo	2008
Chamaecrista choriophylla (Vogel) H. S. Irwin & Barneby	314470	Chamaecrista choriophylla	Fabaceae		Fabaceae	VU	Vulnerável	2008
Chamaecrista semaphora (H. S. Irwin & Barneby) H. S. Irwin & Barneby	314948	Chamaecrista semaphora	Fabaceae		Fabaceae	EN	Em Perigo	2008
Diplusodon canastrensis T.B. Cavalcanti	321145	Diplusodon canastrensis	Lythraceae		Lythraceae	VU	Vulnerável	2008
Dyckia rariflora Schult. & Schult.f.	314006	Dyckia rariflora	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Steindachneridion punctatum (Miranda Ribeiro, 1918)	174909	Steindachneridion punctatum	Pimelodidae		Steindachneridion punctatum	CR	Criticamente em Perigo	2010
Curaeus forbesi (Sclater, 1886)						CR	Criticamente em Perigo	2010
Paepalanthus lepidus Silveira	317032	Paepalanthus lepidus	Eriocaulaceae		Eriocaulaceae	EX	EX	2008
Discocactus heptacanthus (Buining & Brederoo) N. P. Taylor & Zappi	367632	Discocactus heptacanthus	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Mikania acuminata DC.	325461	Mikania acuminata	Asteraceae		Asteraceae	VU	Vulnerável	2008
Conopias trivirgatus (Wied, 1831)	122017	Conopias trivirgatus	Tyrannidae		Conopias trivirgatus	CR	Criticamente em Perigo	2010
Partamona ailyae Camargo, 1980	196060	Partamona ailyae	Apidae		Partamona ailyae	VU	Vulnerável	2010
Sophronitis pumila (Hook.) Van den Berg & M.W.Chase	348241	Sophronitis pumila	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Brunfelsia obovata Benth.	281193	Brunfelsia obovata	Solanaceae		Solanaceae	EN	Em Perigo	2008
Priodontes maximus (Kerr, 1792)	142297	Priodontes maximus	Dasypodidae		Priodontes maximus	EN	Em Perigo	2010
Leiothrix echinocephala Ruhland	316535	Leiothrix echinocephala	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Awaous tajasica (Lichtenstein 1822)	202627	Awaous tajasica	Gobiidae		Awaous tajasica	CR	Criticamente em Perigo	2010
Polypodium chnoophorum Kunze	349248	Polypodium chnoophorum	Polypodiaceae		Polypodiaceae	VU	Vulnerável	2008
Mugil curema Valenciennes 1836	155247	Mugil curema	Mugilidae		Mugil curema	CR	Criticamente em Perigo	2010
Huperzia erythrocaulon (Fée) Holub	348228	Huperzia erythrocaulon	Lycopodiaceae		Lycopodiaceae	EN	Em Perigo	2008
Huperzia martii (Wawra) Holub	348304	Huperzia martii	Lycopodiaceae		Lycopodiaceae	EN	Em Perigo	2008
Heliconia angusta Vell.	333303	Heliconia angusta	Heliconiaceae		Heliconiaceae	CR	Criticamente em Perigo	2008
Quesnelia strobilispica Wawra	328527	Quesnelia strobilispica	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Oxypetalum rusticum Rapini	311657	Oxypetalum rusticum	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Euterpe edulis Mart.	284430	Euterpe edulis	Arecaceae		Arecaceae	VU	Vulnerável	2008
Dasyphyllum fodinarum (Gardner) Cabrera	325306	Dasyphyllum fodinarum	Asteraceae		Asteraceae	VU	Vulnerável	2008
Diamantina lombardii Novelo, C.T.Philbrick & Irgang	384128	Diamantina lombardii	Podostemaceae		Podostemaceae	VU	Vulnerável	2008
Oxypetalum minarum E. Fourn.	323784	Oxypetalum minarum	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Brycon vermelha Lima & Castro, 2000	119819	Brycon vermelha	Bryconidae		Brycon vermelha	CR	Criticamente em Perigo	2010
