"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Apochloa bahiensis (Renvoize) Zuloaga & Morrone","336640","Apochloa bahiensis","Poaceae",,"Apochloa bahiensis","EN","Em Perigo"
"Mimosa morroensis Barneby","393261","Mimosa morroensis","Fabaceae",,"Mimosa morroensis","EN","Em Perigo"
"Microlicia noblickii (Wurdack) A.B.Martins & Almeda","292864","Microlicia noblickii","Melastomataceae",,"Microlicia noblickii","EN","Em Perigo"
"Begonia paganuccii Gregório & J.A.S.Costa,","361393","Begonia paganucci","Begoniaceae",,"Begonia paganucci","VU","Vulnerável"
"Piriqueta crenata L. Rocha, I.M. Souza & Arbo","378054","Piriqueta crenata","Turneraceae",,"Piriqueta crenata","CR","Criticamente em Perigo"
"Piriqueta assuruensis Urb.","297276","Piriqueta assuruensis","Turneraceae",,"Piriqueta assuruensis","VU","Vulnerável"
"Melochia illicioides K.Schum.","297188","Melochia illicioides","Malvaceae",,"Melochia illicioides","CR","Criticamente em Perigo"
"Aosa gilgiana (Urb.) Weigend","378970","Aosa gilgiana","Loasaceae",,"Aosa gilgiana","VU","Vulnerável"
"Eugenia laxa DC.","309393","Eugenia laxa","Myrtaceae",,"Eugenia laxa","EN","Em Perigo"
"Touit melanonotus (Wied, 1820)","268953","Touit melanonotus","Psittacidae","Animalia","Papagainho","CR","Criticamente em Perigo"
"Sida itaparicana Krapov.","342526","Sida itaparicana","Malvaceae",,"Sida itaparicana","CR","Criticamente em Perigo"
"Hohenbergia hatschbachii Leme","327778","Hohenbergia hatschbachii","Bromeliaceae",,"Hohenbergia hatschbachii","EN","Em Perigo"
"Amphisbaena frontalis Vanzolini, 1991","117780","Amphisbaena frontalis","Amphisbaenidae",,"Cobra-de-duas-cabeças","VU","Vulnerável"
"Vitex hypoleuca Schauer","334452","Vitex hypoleuca","Lamiaceae",,"Vitex hypoleuca","VU","Vulnerável"
"Myrcia spathulifolia Proença","394361","Myrcia spathulifolia","Myrtaceae",,"Myrcia spathulifolia","VU","Vulnerável"
"Vriesea chapadensis Leme","286699","Vriesea chapadensis","Bromeliaceae",,"Vriesea chapadensis","VU","Vulnerável"
