"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Rhamdiopsis moreirai","240385","Rhamdiopsis moreirai","Heptapteridae",,"Heptapteridae","VU","Vulnerável","2011"
"Drephalys mourei","209959","Drephalys (Drephalys) mourei","Hesperiidae",,"Hesperiidae","CR","Criticamente em perigo","2011"
"Symmachia arion","219789","Symmachia arion","Riodinidae",,"Riodinidae","VU","Vulnerável","2011"
"Clelia plumbea","149524","Clelia plumbea","Dipsadidae",,"Dipsadidae","EN","Em Perigo","2011"
"Tachuris rubrigastra","224863","Tachuris rubrigastra","Tachurisidae",,"Tachurisidae","VU","Vulnerável","2011"
"Ceriantheomorphe brasiliensis","198917","Ceriantheomorphe brasiliensis","Cerianthidae",,"Cerianthidae","EN","Em Perigo","2011"
"nigropectus",,,,,,"VU","Vulnerável","2011"
"Caaeteboia amarali","149536","Caaeteboia amarali","Dipsadidae",,"Dipsadidae","EN","Em Perigo","2011"
"Tinamus solitarius","265270","Tinamus solitarius","Tinamidae",,"Tinamidae","VU","Vulnerável","2011"
"Triclaria malachitacea","175361","Triclaria malachitacea","Psittacidae",,"Psittacidae","VU","Vulnerável","2011"
"Polioptila lactea","123442","Polioptila lactea","Polioptilidae",,"Polioptilidae","VU","Vulnerável","2011"
"Psammanthus caraguaensis",,,,,,"CR","Criticamente em perigo","2011"
"Caretta caretta","139606","Caretta caretta","Cheloniidae",,"Cheloniidae","EN","Em Perigo","2011"
"Falco deiroleucus","226326","Falco deiroleucus","Falconidae",,"Falconidae","CR","Criticamente em perigo","2011"
"Lophelia pertusa","192927","Lophelia pertusa","Caryophylliidae",,"Caryophylliidae","CR","Criticamente em perigo","2011"
"Liolaemus occipitalis","140110","Liolaemus occipitalis","Liolaemidae",,"Liolaemidae","VU","Vulnerável","2011"
"Xolmis dominicanus","180652","Xolmis dominicanus","Tyrannidae","Animalia","Tyrannidae","EN","Em Perigo","2011"
"Polyprion americanus","150474","Polyprion americanus","Polyprionidae",,"Polyprionidae","CR","Criticamente em perigo","2011"
"Carpornis melanocephala","187043","Carpornis melanocephala","Cotingidae",,"Cotingidae","EN","Em Perigo","2011"
"Thoropa saxatilis","233038","Thoropa saxatilis","Cycloramphidae",,"Cycloramphidae","CR","Criticamente em perigo","2011"
"Sporophila melanogaster","138963","Sporophila melanogaster","Thraupidae","Animalia","Thraupidae","VU","Vulnerável","2011"
"Aplastodiscus ehrhardti","249439","Aplastodiscus ehrhardti","Hylidae",,"Hylidae","VU","Vulnerável","2011"
"Jenynsia sanctaecaterinae",,,,,,"VU","Vulnerável","2011"
"Salminus brasiliensis","202451","Salminus brasiliensis","Characidae",,"Characidae","VU","Vulnerável","2011"
"Procellaria aequinoctialis","203351","Procellaria aequinoctialis","Procellariidae",,"Procellariidae","VU","Vulnerável","2011"
"Melipona mondury","164816","Melipona (Michmelia) mondury","Apidae",,"Apidae","VU","Vulnerável","2011"
"Ozotoceros bezoarticus","200018","Ozotoceros bezoarticus","Cervidae",,"Cervidae","VU","Vulnerável","2011"
"Austrolebias carvalhoi","158478","Austrolebias carvalhoi","Rivulidae",,"Rivulidae","CR","Criticamente em perigo","2011"
