"Familia";"Nome_Cientifico";"Categoria";"Cod.";"Fonte";"Lista";"Dispositivo_Legal"
"Orchidaceae";"Habenaria hexaptera";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Melastomataceae";"Huberia laurina";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Araliaceae";"Hydrocotyle pusilla";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rubiaceae";"Galium noxium subsp. valantioides";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Amaryllidaceae";"Hippeastrum reginae";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Lauraceae";"Ocotea beulahiae";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"";"Chascolytum brasiliense";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Chusquea pinifolia";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Podostemaceae";"Podostemum rutifolium";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Myrtaceae";"Eugenia modesta";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Loudetia flammida";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Melastomataceae";"Leandra neglecta";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Gomesa cruciata";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Xyridaceae";"Xyris capensis";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Dryadella auriculigera";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Habenaria jordanensis";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Marantaceae";"Goeppertia zebrina";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rubiaceae";"Psychotria paludosa";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Dicranaceae";"Dicranella guilleminiana";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Apocynaceae";"Oxypetalum strictum";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Gesneriaceae";"Sinningia insularis";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Melastomataceae";"Clidemia sericea";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Gomesa cuneata";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Myrtaceae";"Myrcia hexasticha";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Bartramiaceae";"Breutelia subdisticha";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Aristida laevis";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Lauraceae";"Nectandra debilis";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Bothriochloa laguroides";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Araceae";"Heteropsis oblongifolia";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Smilacaceae";"Smilax lappacea";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Asteraceae";"Chromolaena elliptica";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Piperaceae";"Peperomia quadrifolia";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Araceae";"Anthurium ameliae";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orobanchaceae";"Agalinis ramulifera";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Meteoriaceae";"Meteorium medium";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orobanchaceae";"Melasma rhinanthoides";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
